key,value,Hindi,Gujarati Text,Marathi Text,Telugu Text,
reload,Reload,दोबारा लोड करें,ફરીથી લોડ કરો,पुन्हा लोड करा.,మళ్లీ లోడ్ చేయండి,
reportWebsite,Report Website,वेबसाइट रिपोर्ट करें,વેબસાઇટ રિપોર્ટ કરો,वेबसाइटबद्दल रिपोर्ट करा.,వెబ్‌సైట్‌ను రిపోర్ట్ చేయండి,
pinBot,Pin Bot,Bot पिन करें,Bot પિન કરો,Bot पिन करा.,Bot ని పిన్ చేయండి,
unpinBot,Unpin Bot,Bot पिन हटाएँ,Bot અનપિન કરો,Bot चे पिन काढून टाका.,Bot ని అన్‌పిన్ చేయండి,
selectFromOptions,Select from the given options to proceed further.,आगे बढ़ने के लिए दिए गए विकल्पों में से चुनें।,આગળ વધવા માટે આપેલ વિકલ્પોમાંથી પસંદ કરો.,पुढे जाण्यासाठी दिलेल्या पर्यायांमधून एक पर्याय निवडा.,తదుపరి కొనసాగించడానికి ఇచ్చిన ఎంపికల నుండి ఎంచుకోండి.,
clickSendToContinue,Click the send button to continue,आगे बढ़ने के लिए सेंड बटन पर टैप करें,ચાલુ રાખવા માટે સેન્ડ બટન પર ક્લિક કરો,सुरु ठेवण्यासाठी पाठवा या बटणावर क्लिक करा.,కొనసాగించడానికి సెండ్ బటన్‌ పై క్లిక్ చేయండి,
imageShareMessage,Check out more amazing pictures 📸 like this on SwiftChat: {{botUrl}},SwiftChat पर इस तरह के और शानदार चित्र देखें 🎥: {{botUrl}},SwiftChat પર આના જેવા વધુ આકર્ષક ચિત્રો જુઓ 📸: {{botUrl}},SwiftChat: {{botUrl}} वर 📸 यासारखी आणखी अप्रतिम छायाचित्रे पहा:,ఇలాంటి మరిన్ని అద్భుతమైన చిత్రాలను 📸 SwiftChat: {{botUrl}}లో చూడండి,
videoShareMessage,Check out more amazing videos 🎥 like this on SwiftChat: {{botUrl}},SwiftChat पर इस तरह के और शानदार वीडियो देखें 🎥: {{botUrl}},SwiftChat પર આના જેવા વધુ આકર્ષક વીડિયો જુઓ 🎥: {{botUrl}},SwiftChat: {{botUrl}} वर 🎥 यासारखे आणखी अप्रतिम व्हिडीओ पहा:,ఇలాంటి మరిన్ని అద్భుతమైన వీడియోలను 🎥 SwiftChat: {{botUrl}}లో చూడండి,
cameraPermissionDismissedMessage,"You can scan QR code of the bot you want to subscribe on this screen.\n\nPermission not granted, please grant for this feature to work\n","आप इस स्क्रीन पर उस bot का QR कोड स्कैन कर सकते हैं जिसे आप सब्सक्राइब करना चाहते हैं।\n\nअनुमति नहीं दी गई है, कृपया इस सुविधा के लिए अनुमते दें\n","તમે આ સ્ક્રીન પર સબસ્ક્રાઇબ કરવા માંગતા હોવ તે બોટના QR કોડને સ્કેન કરી શકો છો.\n\nમંજૂરી આપવામાં આવી નથી, કૃપા કરીને કામ કરવા માટે આ સુવિધા માટે મંજૂરી આપો\n","तुम्हाला ज्या bot चे सदस्यत्व घ्यायचे आहे त्याचा QR कोड या स्क्रीनवर तुम्ही स्कॅन करू शकता. \n\n साठी परवानगी नाही, कृपया या सुविधेचा वापर करण्यासाठी परवानगी द्या\n","మీరు ఈ స్క్రీన్‌పై సబ్‌స్క్రైబ్ చేయాలనుకుంటున్న bot యొక్క QR కోడ్‌ని స్కాన్ చేయవచ్చు.\n\nఅనుమతించబడలేదు, దయచేసి ఈ ఫీచర్ \n పని చేయడానికి అనుమతించండి",
clickToGrant,Click here to grant it,अनुमति प्रदान करने के लिए यहाँ टैप करें,તેને અનુમતિ આપવા માટે અહીં ક્લિક કરો,परवानगी देण्यासाठी इथे क्लिक करा,అనుమతించడానికి ఇక్కడ క్లిక్ చేయండి,
pinFailure,Could not pin,पिन नहीं हुआ,પિન કરી શક્યા નથી,पिन झालेले नाही,పిన్ చేయడం సాధ్యపడలేదు,
pin406,Maximum of 50 bots can be pinned to the top,अधिकतम 50 bots को शीर्ष पर पिन किया जा सकता है,વધુમાં વધુ 50 બોટ્સને ટોચ પર પિન કરી શકાય છે,जास्तीतजास्त 50 bots शीर्षस्थानी पिन केले जाऊ शकतात,గరిష్టంగా 50 bots లను పైభాగానికి పిన్ చేయవచ్చు,
unpinFailure,Could not unpin,पिन हटाया नहीं जा सका,અનપિન કરી શક્યા નથી,पिन काढले जाऊ शकत नाही,అన్‌పిన్ చేయడం సాధ్యపడలేదు,
janText,Jan,जनवरी,જાન્યુઆરી,जानेवारी,జనవరి,
febText,Feb,फरवरी,ફેબ્રુઆરી,फेब्रुवारी,ఫిబ్రవరి,
marText,Mar,मार्च,માર્ચ,मार्च,మార్చ్,
aprText,Apr,अप्रैल,એપ્રિલ,एप्रिल,ఏప్రిల్,
mayText,May,मई,ચિત્ર ગેલેરી,इमेज गॅलरी,ఇమేజ్ గ్యాలరీ,
juneText,June,जून,વીડિયો ગેલેરી,व्हिडीओ गॅलरी,వీడియో గ్యాలరీ,
julyText,July,जुलाई,x પસંદ થયેલ,x ची निवड केलेली आहे.,x ఎంపిక చేయబడింది,
augText,Aug,अगस्त,ઓગસ્ટ,ऑगस्ट,ఆగస్ట్,
sepText,Sep,सितंबर,સપ્ટેમ્બર,सप्टेंबर,సెప్టెంబరు,
octText,Oct,अक्टूबर,ઓકટોબર,ऑक्टोबर,అక్టోబర్,
novText,Nov,नवंबर,નવેમ્બર,नोव्हेंबर,నవంబర్,
decText,Dec,दिसंबर,ડિસેમ્બર,डिसेंबर,డిసెంబర్,
selectDateLabel,Select Date,तारीख़ चुनें,તારીખ પસંદ કરો,दिनांक निवडा.,తేదీని ఎంచుకోండి,
chatSettingsGroupTitle,Chat Settings,चैट सेटिंग्स,ચેટ સેટિંગ્સ,चॅट सेटिंग्स,చాట్ సెట్టింగ్‌లు,
aboutSettingsGroupTitle,About,SwiftChat के बारे में,SwiftChat વિશે,SwiftChat बद्दल,SwiftChat గురించి,
termsOfUseMenu,Terms of Use,उपयोग की शर्तें,ઉપયોગની શરતો,वापरासाठीच्या अटी,ఉపయోగించడానికి నిబంధనలు,
termsOfServices,Terms of services,सेवाओं की शर्तें,સેવાની શરતો,सेवा अटी,సేవల నిబంధనలు,
stopPushNotifsTitle,Are you sure you want to mute notifications?,क्या आप वाकई सूचनाओं को म्यूट करना चाहते हैं?,શું તમે ખરેખર નોટિફિકેશનને મ્યૂટ કરવા માંગો છો?,तुम्ही खात्रीने सूचनांचे संदेश म्यूट करू इच्छिता?,మీరు ఖచ్చితంగా నోటిఫికేషన్‌లను మ్యూట్ చేయాలనుకుంటున్నారా?,
stopPushNotifsHelperText,"You might miss out on exciting new features, bot launches and other updates","आप रोमांचक नई सुविधाओं, bot लॉन्च और अन्य अपडेट से चूक सकते हैं","તમે આકર્ષક નવી સુવિધાઓ, બોટ લોંચ અને અન્ય અપડેટ્સ ચૂકી શકો છો","रोमांचक नवीन वैशिष्‍ट्ये, bot चे प्रक्षेपण आणि इतर अपडेट तुम्हाला मिळू शकणार नाहीत","మీరు ఉత్తేజకరమైన కొత్త ఫీచర్‌లు, బోట్ లాంచ్‌లు మరియు ఇతర అప్‌డేట్‌లను కోల్పోవచ్చు",
stopPushNotifsConfirmButtonText,Continue,जारी रखें,ચાલુ રાખો,सुरु ठेवा.,కొనసాగించు,
stopPushNotifsDeclineButtonText,Cancel,रद्द करें,રદ કરો,रद्द करा.,రద్దు చేయండి,
notificationNotSupportedTooltip,Notifications are not supported on this browser,इस ब्राउज़र पर सूचनाएं समर्थित नहीं हैं,આ બ્રાઉઝર પર નોટિફિકેશન સ્પોર્ટ કરતી નથી,या ब्राउझरवर सूचनांचे समर्थन होत नाही,ఈ బ్రౌజర్‌లో నోటిఫికేషన్‌లకు సపోర్ట్ లేదు,
notificationPermissionBlockedTooltip,Notifications for this site are blocked in browser settings,इस साइट के लिए सूचनाएँ ब्राउज़र सेटिंग में ब्लॉक किए गए हैं,આ સાઇટ માટેની નોટિફિકેશન બ્રાઉઝર સેટિંગ્સમાં બ્લોક થયેલ છે,या साइटसाठी असलेल्या सूचना ब्राउझर सेटिंग्जमध्ये अवरोधित केलेल्या आहेत,ఈ సైట్ యొక్క నోటిఫికేషన్‌లు బ్రౌజర్ సెట్టింగ్‌లలో బ్లాక్ చేయబడ్డాయి,
termsOfScreenHeaderTitle,Terms of use,उपयोग की शर्तें,ઉપયોગની શરતો,वापरासाठीच्या अटी,ఉపయోగించడానికి నిబంధనలు,
addVpa,Add UPI ID,UPI ID जोड़ें,UPI ID ઉમેરો,UPI ID जोडा.,UPI IDని జోడించండి,
payUsingVpa,Pay using UPI ID,UPI ID से भुगतान करें,UPI IDનો ઉપયોગ કરીને ચૂકવણી કરો,UPI ID च्या माध्यमातून देय द्या,UPI IDని ఉపయోగించి చెల్లించండి,
phonepeVpa,PhonePe,PhonePe,PhonePe,PhonePe,PhonePe,
gpayVpa,Google Pay,Google Pay,Google Pay,Google Pay,Google Pay,
paytmVpa,Paytm,Paytm,Paytm,Paytm,Paytm,
saveForFuturePayment,Save this UPI ID for future payments.,भविष्य के भुगतानों के लिए इस UPI ID को सहेजें।,ભવિષ્યની ચૂકવણીઓ માટે આ UPI ID સેવ કરો.,भविष्यातील देयांसाठी हा UPI ID जतन करा.,భవిష్యత్ చెల్లింపుల కోసం ఈ UPI IDని సేవ్ చేసుకోండి.,
verifyVpa,Verify,जाँच करें,ચકાસો,पडताळणी करा.,ధృవీకరించండి,
pay,Pay,भुगतान करें,ચૂકવણી કરો,देय भरा,చెల్లించండి,
save,Save,सहेजें,સેવ કરો,सेव्ह करा.,సేవ్ చేయండి,
vpaInvalid,Please enter a valid UPI ID,कृपया एक मान्य UPI ID दें,કૃપા કરીને માન્ય UPI ID દાખલ કરો,कृपया वैध UPI ID प्रविष्ट करा,దయచేసి చెల్లుబాటు అయ్యే UPI IDని నమోదు చేయండి,
paymentMessage,Payment to {{store}},{{store}} को भुगतान,{{store}} ને ચૂકવણી કરો,{{store}} चे देय भरा,{{store}}కి చెల్లింపు,
expireMessage,Expires on {{expiry}},{{expiry}} पर अवधि समाप्त,{{expiry}} ના રોજ સમાપ્ત થાય છે,{{expiry}} रोजी कालबाह्य होईल,{{expiry}}న గడువు ముగుస్తుంది,
transactionId,Transaction ID: {{id}},Transaction ID: {{id}},ટ્રાન્ઝેક્શન ID: {{id}},व्यवहार झालेला ID : {{id}},Transaction ID: {{id}},
to,To: **{{receiver}}**,**{{receiver}}** को,To: **{{receiver}}**,प्रति  **{{receiver}}**,వీరికి: **{{receiver}}**,
from,From: **{{sender}}**,**{{sender}}** से,From: **{{sender}}**,**{{sender}}** कडून,నుండి: **{{sender}}**,
upiTransactionId,UPI Transaction ID\n **{{upiTransactionId}}**,UPI Transaction ID\n **{{upiTransactionId}}**,UPI ટ્રાન્ઝેક્શન ID\n **{{upiTransactionId}}**,व्यवहार झालेला UPI ID\n **{{upiTransactionId}}**,UPI Transaction ID\n **{{upiTransactionId}}**,
decline,Decline,रद्द करें,રદ કરો,रद्द करा,తిరస్కరించు,
paymentFailed,Failed,असफल,અસફળ,अयशस्वी,విఫలమైంది,
paymentDeclined,Declined,रद्द हुआ,રદ કર્યું,रद्द झालेला आहे,తిరస్కరించబడింది,
paymentSuccess,Success,सफल,સફળ,यशस्वी,విజయం,
paymentPending,Pending,पेंडिंग,પેન્ડિંગ(બાકી),प्रलंबित,పెండింగ్‌లో ఉంది,
paymentExpired,Expired,अवधि समाप्त,સમય સમાપ્ત,कालबाह्य झालेले आहे.,గడువు ముగిసింది,
deleteVpaMessage,Your saved UPI ID\n **{{vpa}}** will be deleted upon confirmation.,आपकी सहेजी गई UPI ID\n **{{vpa}}** पुष्टि होने पर डिलीट कर दी जाएगी।,પુષ્ટિ કર્યા પછી તમારું સેવ થયેલ UPI ID\n **{{vpa}}** ડિલીટ થઈ જશે.,तुमचा जतन केलेला UPI ID\n **{{vpa}}** पुष्टीकरण झाल्यानंतर काढून टाकला जाईल.,మీరు సేవ్ చేసిన UPI ID\n **{{vpa}}** నిర్ధారణ తర్వాత తొలగించబడుతుంది.,
deleteVpaCancel,Cancel,रद्द करें,રદ કરો,रद्द करा.,రద్దు చేయండి,
deleteVpaConfirm,Confirm,कन्फर्म करें,પુષ્ટિ કરો,कन्फर्म करा.,నిర్ధారించండి,
deleteVpa,Delete UPI ID?,UPI ID डिलीट करें?,UPI ID ડિલીટ કરવું છે?,UPI ID काढून टाकलेला आहे का?,UPI IDని తొలగించాలా?,
paymentProcessingTitle,"Your payment is being initiated, please wait...","आपका भुगतान शुरू किया जा रहा है, कृपया प्रतीक्षा करें...","તમારી ચૂકવણી શરૂ કરવામાં આવી રહી છે, કૃપા કરીને રાહ જુઓ...","तुमची देय प्रक्रिया सुरू केली जात आहे, कृपया प्रतीक्षा करा...","మీ చెల్లింపు ప్రారంభించబడుతోంది, దయచేసి వేచి ఉండండి...",
paymentProcessingDescription,Do not close the app or press back as it may cancel the payment.,ऐप को बंद न करें या वापस पर टैप न करें क्योंकि इससे भुगतान रद्द हो सकता है।,એપ્લિકેશન બંધ કરશો નહીં અથવા બેક દબાવશો નહીં કારણ કે તે ચૂકવણી રદ કરી શકે છે.,अ‍ॅप बंद करू नका किंवा मागे जा हे बटण दाबू नका कारण ते देय प्रक्रिया रद्द करू शकते.,చెల్లింపును రద్దు చేసే అవకాశం ఉన్నందున యాప్‌ను క్లోజ్ చేయకండి మరియు వెనక్కి నొక్కకండి.,
paymentProcessingWarning,Checking transaction status again in 5 seconds,5 सेकंड में फिर से लेन-देन की स्थिति की जाँच की जाएगी,5 સેકન્ડમાં ફરીથી ટ્રાન્ઝેક્શન સ્થિતિ ચકાસી રહ્યા છે,5 सेकंदांमध्ये व्यवहाराची स्थिती पुन्हा तपासत आहे,5 సెకన్లలో transaction స్థితిని మళ్లీ చెక్ చేస్తుంది,
savedVpa,UPI ID saved successfully,UPI ID सफलतापूर्वक सहेजा गया,શનિવાર,शनिवार,శనివారం,
failToSaveVpa,UPI ID could not be saved,UPI ID सहेजी नहीं जा सकी,UPI ID સેવ કરી શક્યા નથી,UPI ID जतन करता आलेला नाही,UPI ID సేవ్ చేయబడలేదు,
paymentPopupWindowMessage,"Click the below button to continue the transaction, a new window may open after this","लेन-देन करने के लिए नीचे दिए गए बटन पर टैप करें, इसके बाद एक नई विंडो खुल सकती है","ટ્રાન્ઝેક્શન ચાલુ રાખવા માટે નીચેના બટન પર ક્લિક કરો, આ પછી નવી વિન્ડો ખુલી શકે છે","व्यवहार सुरू ठेवण्यासाठी खालील बटणावर क्लिक करा, त्यानंतर एक नवीन विंडो उघडू शकते","transaction ని కొనసాగించడానికి దిగువ బటన్‌ను క్లిక్ చేయండి, దీని తర్వాత కొత్త విండో ఓపెన్ అవుతుంది",
payUsing,Pay Using,भुगतान विधि चुनें,ચૂકવણી પદ્ધતિ પસંદ કરો,देय पद्धती निवडा,ఉపయోగించి చెల్లించండి,
stripePaymentProcessingTitle,How to pay with PayNow?,PayNow से भुगतान कैसे करें?,PayNow સાથે કેવી રીતે ચૂકવણી કરવી?,PayNow सह देय कसे द्यावे?,PayNowతో ఎలా చెల్లించాలి?,
stripePaymentProcessingDescription,"1. Scan the QR code with your preferred banking app and skip to Step 4.\n2. With pre-filled information, complete the payment by clicking ‘Transfer’/’Confirm’ \n\n **Supported banks and Non-Bank Financial Institutions (NFIs):** \n\nBank of China, CIMB Bank Berhad, Citibank Singapore Limited, DBS Bank/POSB, HSBC, Industrial and Commercial Bank of China Limited, Maybank, OCBC Bank, Standard Chartered Bank, UOB, GrabPay, LiquidPay, Singtel Dash and Xfers.","1. QR कोड को अपने पसंदीदा बैंकिंग ऐप से स्कैन करें और चरण 4 पर जाएँ।\n2. पहले से भरी हुई जानकारी के साथ, 'ट्रांसफ़र'/'कन्फर्म करें' पर टैप करके भुगतान पूरा करें \n\n **समर्थित बैंक और गैर-बैंक वित्तीय संस्थान:(NFIs):** \n\nBank of China, CIMB Bank Berhad, Citibank Singapore Limited, DBS Bank/POSB, HSBC, Industrial and Commercial Bank of China Limited, Maybank, OCBC Bank, Standard Chartered Bank, UOB, GrabPay, LiquidPay, Singtel Dash and Xfers","1. તમારી પસંદગીની બેંકિંગ એપ્લિકેશન વડે QR કોડને સ્કેન કરો અને પગલું 4 પર જાઓ. \n2. અગાઉથી ભરેલી માહિતી સાથે, 'ટ્રાન્સફર'/'કન્ફર્મ' \n\n ** સપોર્ટેડ બેંકો અને નોન-બેંક ફાઇનાન્સિયલ ઇન્સ્ટિટ્યૂશન્સ (NFIs):** \n\nBank of China, CIMB Bank Berhad, Citibank Singapore Limited, DBS Bank/POSB, HSBC, Industrial and Commercial Bank of China Limited, Maybank, OCBC Bank, Standard Chartered Bank, UOB, GrabPay, LiquidPay, Singtel Dash and Xfers પર ક્લિક કરીને ચૂકવણી પૂર્ણ કરો.","1. तुमच्या पसंतीच्या बँकिंग अ‍ॅपसह QR कोड स्कॅन करा आणि पायरी 4 वर जा.\n
2.पूर्व-भरलेल्या माहितीसह, ‘हस्तांतरण’/’पुष्टी करा’ या बटणावर क्लिक करून देय प्रक्रिया पूर्ण करा \n\n **समर्थित बँका आणि बँक नसलेल्या वित्तीय संस्था (NFI) या आहेत: ** \n\nBank of China, CIMB Bank Berhad, Citibank Singapore Limited, DBS Bank/POSB, HSBC, Industrial आणि Commercial Bank of China Limited, Maybank, OCBC Bank, Standard Chartered Bank, UOB, GrabPay, LiquidPay, Singtel Dash आणि Xfers.","1. మీ ప్రాధాన్య బ్యాంకింగ్ యాప్‌తో QR కోడ్‌ని స్కాన్ చేసి, 4వ సోపానానికి స్కిప్ చేయండి.\n 2. ముందుగా పూరించిన సమాచారంతో, 'Transfer’/’Confirm’'పై క్లిక్ చేసి చెల్లింపును పూర్తి చేయండి \n\n **సపోర్ట్ చేసే బ్యాంకులు మరియు నాన్- బ్యాంక్ ఆర్థిక సంస్థలు (NFIలు):** \n\nBank of China, CIMB Bank Berhad, Citibank Singapore Limited, DBS Bank/POSB, HSBC, Industrial and Commercial Bank of China Limited, Maybank, OCBC Bank, Standard Chartered Bank, UOB, GrabPay, LiquidPay, Singtel Dash and Xfers.",
feedbackScreenSubmit,Submit,सबमिट करें,સબમિટ કરો,सबमिट करा.,సబ్మిట్ చేయండి,
feedbackDetailTitle,Tell us more...,हमें और बताएँ...,અમને વધુ જણાવો...,आम्हाला अधिक सांगा...,మాకు మరింత చెప్పండి...,
feedbackDetailSubtitle,What did you like the most about SwiftChat?,आपको SwiftChat के बारे में सबसे अधिक क्या पसंद आया?,SwiftChat વિશે તમને સૌથી વધુ શું ગમ્યું?,SwiftChat बद्दल तुम्हाला सर्वात जास्त काय आवडले आहे?,SwiftChatలో మీకు ఏది బాగా నచ్చింది?,
errorHelperText,Please enter your Email ID,कृपया अपनी email ID दर्ज करें,કૃપા કરીને તમારું ઈ-મેઈલ ID દાખલ કરો,कृपया तुमचा email ID प्रविष्ट करा.,దయచేసి మీ email IDని నమోదు చేయండి,
feedbackEmailTitle,Email ID,Email ID,ઈ-મેઈલ ID,Email ID,Email ID,
feedbackConfirmationtitle,Thank you!,धन्यवाद!,તમારો આભાર!,आभारी आहे!,ధన్యవాదాలు!,
feedbackConfirmationsubtitle,Thank you for sharing your thoughts.,अपने विचारों को साझा करने के लिए धन्यवाद।,તમારા વિચારો શેર કરવા બદલ આભાર.,तुमचे विचार मांडल्याबद्दल धन्यवाद.,మీ ఆలోచనలను పంచుకున్నందుకు ధన్యవాదాలు.,
feedbackConfirmationlabel,We appreciate your feedback,हम आपके फ़ीडबैक की सराहना करते हैं,અમે તમારા પ્રતિસાદની કદર કરીએ છીએ,आम्ही तुमच्या अभिप्रायाची प्रशंसा करतो,మేము మీ అభిప్రాయాన్ని అభినందిస్తున్నాము,
seeMoreFaqs,See More,और देखें,વધારે જુઓ,अधिक जाणून घ्या,ఇంకా చూడండి,
seeLessFaqs,See Less,कम देखें,ઓછું જુઓ,कमी पहा,తక్కువ చూడండి,
cardButtonText,Add to Cart,कार्ट में जोड़ें,કાર્ટમાં ઉમેરો,कार्टमध्ये टाका.,కార్ట్‌కి జోడించండి,
FAQs,FAQs,पूछे जाने वाले प्रश्न (FAQs),વારંવાર પૂછાતા પ્રશ્નો (FAQs),वारंवार विचारले जाणारे प्रश्न (FAQs),తరచుగా అడిగే ప్రశ్నలు (FAQs),
saveItemText,Save,सेव करें,સેવ કરો,सेव्ह करा.,సేవ్ చేయండి,
copyText,Copy,कॉपी करें,કોપી,कॉपी करा.,కాపీ చేయండి,
profileScreenHeading,Edit Profile,प्रोफ़ाइल संपादित करें,પ્રોફાઇલ એડિટ કરો,प्रोफाइल संपादित करा.,ప్రొఫైల్‌ని సవరించండి,
profileNameLabel,Name*,नाम*,નામ*,नाव*,పేరు*,
profileNamePlaceholder,Please enter your name,कृपया अपना नाम लिखें,કૃપા કરીને તમારું નામ દાખલ કરો,कृपया तुमचे नाव प्रविष्ट करा,దయచేసి మీ పేరు నమోదు చేయండి,
profileMobileLabel,Mobile number*,मोबाइल नंबर*,મોબાઈલ નંબર*,मोबाइल नंबर*,మొబైల్ నంబర్*,
profileMobilePlaceholder,Please enter your mobile,कृपया अपना मोबाइल नंबर दें,કૃપા કરીને તમારો મોબાઇલ દાખલ કરો,कृपया तुमचा मोबाईल क्रमांक प्रविष्ट करा,దయచేసి మీ మొబైల్‌ని నమోదు చేయండి,
profileEmailLabel,Email ID,Email ID,ઈ-મેઈલ ID,Email ID,Email ID,
profileEmailPlaceholder,Enter your email ID,अपनी Email ID दें,તમારું ઈ-મેઈલ ID દાખલ કરો,तुमचा email ID प्रविष्ट करा.,మీ email IDని నమోదు చేయండి,
profileDobPlaceholder,Select Date of Birth,जन्म तिथि चुनें,તમારી જન્મ તારીખ પસંદ કરો,तुमची जन्म तारीख निवडा.,మీ పుట్టిన తేదీని ఎంచుకోండి,
profileGenderLabel,Select your gender,अपना लिंग चुनें,તમારું લિંગ પસંદ કરો,तुमचे लिंग निवडा.,మీ లింగాన్ని ఎంచుకోండి,
profileMaleLabel,Male,पुरुष,પુરુષ,पुरुष,పురుషుడు,
profileFemaleLabel,Female,स्त्री,સ્ત્રી,स्त्री,స్త్రీ,
profileOtherLabel,Other,अन्य,અન્ય,इतर,ఇతర,
autoFillDetails,Auto-fill profile details using,का उपयोग करके प्रोफ़ाइल विवरण स्वतः भरें,તેની મદદથી પ્રોફાઇલ વિગતો આપોઆપ-ભરો,चा वापर करून प्रोफाइलचे तपशील आपोआप भरले जाऊ द्या,ఉపయోగించి ప్రొఫైల్ వివరాలను స్వయంచాలకంగా పూరించండి,
googleLabel,Google,Google,Google,Google,Google,
saveProfileButton,Save,सेव करें,સેવ કરો,सेव्ह करा.,సేవ్ చేయండి,
verifyButtonLabel,Verify Now,जाँच करें,હમણાં જ ચકાસો,पडताळणी करा.,ఇప్పుడే ధృవీకరించండి,
emailNotVerifiedLabel,You have not verified your Email ID,आपने अपनी email ID जाँच नहीं की है,તમે તમારા ઈ-મેઈલ IDની ચકાસણી કરી નથી,तुम्ही तुमच्या Email ID ची पडताळणी केलेली नाही.,మీరు మీ Email IDని ధృవీకరించలేదు,
profileHeaderTitle,Edit Profile,प्रोफ़ाइल संपादित करें,પ્રોફાઇલ એડિટ કરો,प्रोफाइल संपादित करा.,ప్రొఫైల్‌ని సవరించండి,
profileUpdated,Profile details updated,प्रोफ़ाइल विवरण अपडेट किया गया है,પ્રોફાઇલ વિગતો અપડેટ કરેલ છે,प्रोफाइलचे तपशील अपडेट केलेले आहेत.,ప్రొఫైల్ వివరాలు అప్‌డేట్ చేయబడ్డాయి,
mailSent,"Email sent, please check your email and click on the link in the email","Email भेजा गया, कृपया अपना email चेक करें और email में दिए गए लिंक पर टैप करें","Email મોકલવામાં આવ્યો છે, કૃપા કરીને તમારું Email તપાસો અને Emailની લિંક પર ક્લિક કરો","ईमेल पाठवलेला आहे, कृपया तुमचा ईमेल तपासा आणि ईमेलमधील लिंकवर क्लिक करा","ఇమెయిల్ పంపబడింది, దయచేసి మీ ఇమెయిల్‌ని చెక్ చేసి, ఇమెయిల్‌లోని లింక్‌పై క్లిక్ చేయండి",
activeUsers,{{activeUserCount}} Active users,{{activeUserCount}} Active users,{{activeUserCount}} સક્રિય વપરાશકર્તાઓ,{{activeUserCount}} सक्रिय वापरकर्ते,{{activeUserCount}} యాక్టీవ్ వినియోగదారులు,
usersSubscribedBotInfo,{{count}} users subscribed,{{count}} users subscribed,{{સંખ્યા}} વપરાશકર્તાએ સબ્સ્ક્રાઇબ કર્યું છે,{{count}}  वापरकर्त्यांनी सदस्यत्व घेतले आहे,{{count}} సభ్యత్వం పొందిన వినియోగదారులు,
muteBotTitle,Mute Bot,Bot म्यूट करें,Bot મ્યુટ કરો,Bot म्यूट करा.,Bot ని మ్యూట్ చేయండి,
muteDuration1Hour,For 1 hour,1 घंटे के लिए,1 કલાક માટે,1 तासासाठी,1 గంట పాటు,
muteDuration8Hour,For 8 hour,8 घंटे के लिए,8 કલાક માટે,8 तासांसाठी,8 గంటల పాటు,
muteDuration1Week,For 1 week,1 सप्ताह के लिए,1 અઠવાડિયા માટે,1 आठवड्यासाठी,1 వారానికి,
muteDurationAlways,Always,सदैव,હંમેશા માટે,नेहमी,ఎల్లప్పుడూ,
muteBot,Mute Bot,Bot म्यूट करें,Bot મ્યુટ કરો,Bot म्यूट करा.,Bot ని మ్యూట్ చేయండి,
unmuteBot,Unmute Bot,Bot अनम्यूट करें,Bot અનમ્યુટ કરો,Bot अनम्यूट करा.,Bot ని అన్‌మ్యూట్ చేయండి,
noReviewsText,No Reviews Found,कोई समीक्षा नहीं मिली,કોઈ સમીક્ષાઓ મળી નથી,कोणतीही पुनरावलोकने आढळलेली नाहीत,సమీక్షలు ఏవీ కనుగొనబడలేదు,
reportBotReasonPlaceholder,Select a reason,कारण चुनें,કારણ પસંદ કરો,एक कारण निवडा.,ఒక కారణాన్ని ఎంచుకోండి,
reportBotEmailLabel,Email ID,Email ID,ઈ-મેઈલ ID,Email ID,Email ID,
reportBotEmailPlaceholder,Enter your email ID,अपनी email ID दर्ज करें,તમારું ઈ-મેઈલ ID દાખલ કરો,तुमचा email ID प्रविष्ट करा.,మీ email IDని నమోదు చేయండి,
reportBotDescriptionLabel,Describe your problem in a few words,अपनी समस्या का वर्णन कुछ शब्दों में करें,થોડા શબ્દોમાં તમારી સમસ્યાનું વર્ણન કરો,तुमची तक्रार थोडक्यात लिहा.,మీ సమస్యను కొన్ని పదాలలో వివరించండి,
reportBotReasonLabel,Select a problem to report,रिपोर्ट करने के लिए एक समस्या को चुनें,રિપોર્ટ કરવા માટે સમસ્યા પસંદ કરો,रिपोर्ट करण्यासाठी तक्रारीची निवड करा.,రిపోర్ట్ చేయడానికి ఒక సమస్యను ఎంచుకోండి,
